global_step_id,file,axis,step_id_in_file,step_deg,abs_step_deg,direction,t_s,err_px_raw,offset_px,y_zero_px,y_gain_px_per_deg,y_aligned_px,err_norm_raw,y_zero_norm,sample_idx
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,1.03847,-72.5745,9.0411,-81.6156,16.32312,81.6156,-0.226795,-0.255048,31
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,1.071704,-72.5919,9.0411,-81.633,16.3266,81.633,-0.22685,-0.255103,32
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,1.1035,-72.6058,9.0411,-81.6469,16.32938,81.6469,-0.226893,-0.255146,33
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,1.13578,-72.5735,9.0411,-81.6146,16.32292,81.6146,-0.226792,-0.255045,34
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,1.167815,-72.5853,9.0411,-81.6264,16.32528,81.6264,-0.226829,-0.255082,35
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,1.199485,-72.576,9.0411,-81.6171,16.32342,81.6171,-0.2268,-0.255053,36
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.0,-72.5783,-72.57219,-0.00611,-0.001222,-0.00611,-0.226807,-1.9e-05,0
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.046672,-72.5956,-72.57219,-0.02341,-0.004682,-0.02341,-0.226861,-7.3e-05,1
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.078944,-72.5506,-72.57219,0.02159,0.004318,0.02159,-0.22672,6.8e-05,2
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.109977,-50.6188,-72.57219,21.95339,4.390678,21.95339,-0.158184,0.068604,3
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.143034,9.5342,-72.57219,82.10639,16.421278,82.10639,0.029794,0.256582,4
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.174551,11.2322,-72.57219,83.80439,16.760878,83.80439,0.035101,0.261889,5
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.207562,11.3121,-72.57219,83.88429,16.776858,83.88429,0.03535,0.262138,6
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.238594,11.329,-72.57219,83.90119,16.780238,83.90119,0.035403,0.262191,7
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.271234,11.2361,-72.57219,83.80829,16.761658,83.80829,0.035113,0.261901,8
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.302572,11.2675,-72.57219,83.83969,16.767938,83.83969,0.035211,0.261999,9
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.335089,11.3041,-72.57219,83.87629,16.775258,83.87629,0.035325,0.262113,10
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.367621,11.2986,-72.57219,83.87079,16.774158,83.87079,0.035308,0.262096,11
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.39967,11.3004,-72.57219,83.87259,16.774518,83.87259,0.035314,0.262102,12
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.447526,11.2811,-72.57219,83.85329,16.770658,83.85329,0.035253,0.262041,13
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.478516,11.2642,-72.57219,83.83639,16.767278,83.83639,0.035201,0.261989,14
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.510647,11.2927,-72.57219,83.86489,16.772978,83.86489,0.03529,0.262078,15
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.542602,11.3003,-72.57219,83.87249,16.774498,83.87249,0.035314,0.262102,16
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.574623,11.2939,-72.57219,83.86609,16.773218,83.86609,0.035294,0.262082,17
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.60659,11.2921,-72.57219,83.86429,16.772858,83.86429,0.035288,0.262076,18
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.638668,11.2788,-72.57219,83.85099,16.770198,83.85099,0.035246,0.262034,19
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.670792,11.3064,-72.57219,83.87859,16.775718,83.87859,0.035333,0.262121,20
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.702774,11.2771,-72.57219,83.84929,16.769858,83.84929,0.035241,0.262029,21
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.734799,11.2933,-72.57219,83.86549,16.773098,83.86549,0.035291,0.262079,22
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.768865,11.3029,-72.57219,83.87509,16.775018,83.87509,0.035321,0.262109,23
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.799687,11.2751,-72.57219,83.84729,16.769458,83.84729,0.035235,0.262023,24
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.847711,11.2812,-72.57219,83.85339,16.770678,83.85339,0.035254,0.262042,25
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.879654,11.2954,-72.57219,83.86759,16.773518,83.86759,0.035298,0.262086,26
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.911683,11.2885,-72.57219,83.86069,16.772138,83.86069,0.035276,0.262064,27
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.944552,11.2931,-72.57219,83.86529,16.773058,83.86529,0.035291,0.262079,28
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,0.974656,11.2867,-72.57219,83.85889,16.771778,83.85889,0.035271,0.262059,29
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,1.006695,11.3033,-72.57219,83.87549,16.775098,83.87549,0.035323,0.262111,30
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,1.038733,11.3063,-72.57219,83.87849,16.775698,83.87849,0.035332,0.26212,31
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,1.07076,11.3062,-72.57219,83.87839,16.775678,83.87839,0.035332,0.26212,32
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,1.101733,11.2975,-72.57219,83.86969,16.773938,83.86969,0.035305,0.262093,33
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,1.13475,11.2861,-72.57219,83.85829,16.771658,83.85829,0.035269,0.262057,34
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,1.166587,11.3115,-72.57219,83.88369,16.776738,83.88369,0.035348,0.262136,35
3,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,3,5.0,5.0,+,1.199493,11.3072,-72.57219,83.87939,16.775878,83.87939,0.035335,0.262123,36
4,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,4,-5.0,5.0,-,0.0,11.2896,11.296044,-0.006444,0.001289,0.006444,0.03528,-2e-05,0
4,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,4,-5.0,5.0,-,0.0312,11.2776,11.296044,-0.018444,0.003689,0.018444,0.035242,-5.8e-05,1
4,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,4,-5.0,5.0,-,0.064808,11.2869,11.296044,-0.009144,0.001829,0.009144,0.035271,-2.9e-05,2
4,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,4,-5.0,5.0,-,0.09683,-18.5444,11.296044,-29.840444,5.968089,29.840444,-0.057951,-0.093251,3
